,Hotel Name,Rating,Address,City Code,Place ID
1440,Ramada by Wyndham Santa Barbara,4.1,"4770 Calle Real, Santa Barbara",SBA,ChIJg5Yeoqpq6YAROj6fhRU791g
1441,"The Ritz-Carlton Bacara, Santa Barbara",4.4,"8301 Hollister Avenue, Santa Barbara",SBA,ChIJR5dB3hRH6YARhngDWzUoGl4
1442,Kimpton Canary Hotel,4.5,"31 West Carrillo Street, Santa Barbara",SBA,ChIJj4oQBXwU6YARZ93NzVVjolY
1443,Hotel Santa Barbara,4.3,"533 State Street, Santa Barbara",SBA,ChIJAyHWC3gU6YARIyx8qUv3gnA
1444,Howard Johnson by Wyndham Wichita Airport,3.4,"6575 West Kellogg Drive, Wichita",ICT,ChIJOUZgN7jguocRNyEIqnlz-BU
1445,Sonesta Simply Suites Wichita Airport,4.4,"570 South Julia Street, Wichita",ICT,ChIJz4KNvsbguocR8ZxPIZZ4ckg
1446,DoubleTree by Hilton Hotel Wichita Airport,4.4,"2098 South Airport Road, Wichita",ICT,ChIJ27Wt9lDnuocRepi1UGFkGJM
1447,"Holiday Inn Express & Suites Wichita Airport, an IHG Hotel",4.1,"1236 South Dugan Road, Wichita",ICT,ChIJp3HbCbjguocRIz_Dyr0LIHg
1448,Best Western Plus Wichita West Airport Inn,4.4,"3800 West Kellogg Drive, Wichita",ICT,ChIJIwYDmSXhuocRhHV_NCS6HE4
1449,Courtyard by Marriott Palm Springs,4.2,"1300 East Tahquitz Canyon Way, Palm Springs",PSP,ChIJa3mVrJ4b24ARQbQyEMBEMMw
1450,Renaissance Palm Springs Hotel,4.3,"888 East Tahquitz Canyon Way, Palm Springs",PSP,ChIJG001FqIb24ARf6DmPPoRowk
1451,The Saguaro Palm Springs,4,"1800 East Palm Canyon Drive, Palm Springs",PSP,ChIJgawnVGgb24AROV1E8Q2PxYE
1452,Hilton Palm Springs,4.1,"400 East Tahquitz Canyon Way, Palm Springs",PSP,ChIJFZ53d6Qb24AReSJBflV_-aY
1453,Best Western Plus Las Brisas Hotel,4.3,"222 South Indian Canyon Drive, Palm Springs",PSP,ChIJB9QhvaYb24ARz651gCe7-wA
1454,Best Western East Towne Suites,3.9,"4801 Annamark Drive, Madison",MSN,ChIJoZmbuPVWBogRLeMXEwSYXj8
1455,"Motel 6 Madison, WI - East",3.2,"4202 East Towne Boulevard, Madison",MSN,ChIJc2DUJY5WBogRPzm7W2_JlL8
